hand:239A8(HandType.HIGH_C). bid:171    value:145880.   hand_rank:1
hand:77JQQ(HandType.HOUSE_). bid:907    value:487867.   hand_rank:748
hand:77333(HandType.HOUSE_). bid:916    value:488243.   hand_rank:749
hand:77667(HandType.HOUSE_). bid:99     value:489063.   hand_rank:750
hand:77744(HandType.HOUSE_). bid:539    value:489284.   hand_rank:751
hand:77755(HandType.HOUSE_). bid:297    value:489301.   hand_rank:752
hand:77Q7Q(HandType.HOUSE_). bid:459    value:490363.   hand_rank:753
hand:77AAA(HandType.HOUSE_). bid:354    value:490973.   hand_rank:754
hand:7TTT7(HandType.HOUSE_). bid:421    value:502439.   hand_rank:755
hand:7KK7J(HandType.HOUSE_). bid:280    value:511089.   hand_rank:756
hand:8JK8K(HandType.HOUSE_). bid:145    value:531596.   hand_rank:757
hand:83838(HandType.HOUSE_). bid:570    value:538680.   hand_rank:758
hand:844J8(HandType.HOUSE_). bid:650    value:541720.   hand_rank:759
hand:84484(HandType.HOUSE_). bid:773    value:541828.   hand_rank:760
hand:84848(HandType.HOUSE_). bid:222    value:542792.   hand_rank:761
hand:85558(HandType.HOUSE_). bid:628    value:546136.   hand_rank:762
hand:8558J(HandType.HOUSE_). bid:714    value:546177.   hand_rank:763
hand:87787(HandType.HOUSE_). bid:593    value:554887.   hand_rank:764
hand:88J33(HandType.HOUSE_). bid:584    value:557363.   hand_rank:765
hand:88666(HandType.HOUSE_). bid:524    value:558694.   hand_rank:766
hand:88T8T(HandType.HOUSE_). bid:749    value:559754.   hand_rank:767
hand:88TTT(HandType.HOUSE_). bid:555    value:559786.   hand_rank:768
hand:88QQ8(HandType.HOUSE_). bid:596    value:560056.   hand_rank:769
hand:88A8A(HandType.HOUSE_). bid:848    value:560525.   hand_rank:770
hand:89899(HandType.HOUSE_). bid:480    value:563353.   hand_rank:771
hand:9J955(HandType.HOUSE_). bid:241    value:596309.   hand_rank:772
hand:93939(HandType.HOUSE_). bid:713    value:604473.   hand_rank:773
hand:9779J(HandType.HOUSE_). bid:30     value:620433.   hand_rank:774
hand:99494(HandType.HOUSE_). bid:375    value:627860.   hand_rank:775
hand:99555(HandType.HOUSE_). bid:612    value:628053.   hand_rank:776
hand:99559(HandType.HOUSE_). bid:677    value:628057.   hand_rank:777
hand:9966J(HandType.HOUSE_). bid:363    value:628321.   hand_rank:778
hand:99669(HandType.HOUSE_). bid:831    value:628329.   hand_rank:779
hand:9Q9Q9(HandType.HOUSE_). bid:203    value:637369.   hand_rank:780
hand:9Q9QQ(HandType.HOUSE_). bid:26     value:637371.   hand_rank:781
hand:9K9K9(HandType.HOUSE_). bid:632    value:641481.   hand_rank:782
hand:9KKK9(HandType.HOUSE_). bid:458    value:642249.   hand_rank:783
hand:T2T22(HandType.HOUSE_). bid:731    value:666146.   hand_rank:784
hand:T44JT(HandType.HOUSE_). bid:971    value:672794.   hand_rank:785
hand:TT44T(HandType.HOUSE_). bid:412    value:697418.   hand_rank:786
hand:TTTQQ(HandType.HOUSE_). bid:184    value:699067.   hand_rank:787
hand:TQTJQ(HandType.HOUSE_). bid:89     value:703003.   hand_rank:788
hand:Q22JQ(HandType.HOUSE_). bid:257    value:729627.   hand_rank:789
hand:Q3QQ3(HandType.HOUSE_). bid:564    value:736179.   hand_rank:790
hand:QQ2Q2(HandType.HOUSE_). bid:342    value:766642.   hand_rank:791
hand:QQ88J(HandType.HOUSE_). bid:940    value:768129.   hand_rank:792
hand:QQTQT(HandType.HOUSE_). bid:133    value:768698.   hand_rank:793
hand:QKKKQ(HandType.HOUSE_). bid:602    value:773323.   hand_rank:794
hand:K44K4(HandType.HOUSE_). bid:867    value:804036.   hand_rank:795
hand:K4KK4(HandType.HOUSE_). bid:969    value:806084.   hand_rank:796
hand:K7K77(HandType.HOUSE_). bid:599    value:818295.   hand_rank:797
hand:K88K8(HandType.HOUSE_). bid:710    value:821448.   hand_rank:798
hand:KTJTK(HandType.HOUSE_). bid:754    value:827820.   hand_rank:799
hand:KQQKQ(HandType.HOUSE_). bid:967    value:834507.   hand_rank:800
hand:KKQJQ(HandType.HOUSE_). bid:449    value:838427.   hand_rank:801
hand:KKK55(HandType.HOUSE_). bid:759    value:838741.   hand_rank:802
hand:KKK77(HandType.HOUSE_). bid:114    value:838775.   hand_rank:803
hand:A4A4A(HandType.HOUSE_). bid:643    value:871757.   hand_rank:804
hand:A555A(HandType.HOUSE_). bid:680    value:873821.   hand_rank:805
hand:AQAQA(HandType.HOUSE_). bid:880    value:900541.   hand_rank:806
hand:AKAKA(HandType.HOUSE_). bid:815    value:904653.   hand_rank:807
hand:AAJTT(HandType.HOUSE_). bid:751    value:905642.   hand_rank:808
hand:AA8A8(HandType.HOUSE_). bid:780    value:907480.   hand_rank:809
hand:JJ655(HandType.FOUR__). bid:47     value:71253.    hand_rank:810
hand:JJ828(HandType.FOUR__). bid:607    value:71720.    hand_rank:811
hand:JJKQQ(HandType.FOUR__). bid:296    value:72891.    hand_rank:812
hand:J3JQJ(HandType.FOUR__). bid:895    value:78257.    hand_rank:813
hand:J3KKK(HandType.FOUR__). bid:879    value:81100.    hand_rank:814
hand:J444Q(HandType.FOUR__). bid:76     value:83019.    hand_rank:815
hand:J4464(HandType.FOUR__). bid:1000   value:83044.    hand_rank:816
hand:J44TJ(HandType.FOUR__). bid:13     value:83105.    hand_rank:817
hand:J5J99(HandType.FOUR__). bid:912    value:86425.    hand_rank:818
hand:J5955(HandType.FOUR__). bid:744    value:88405.    hand_rank:819
hand:J6K66(HandType.FOUR__). bid:610    value:93286.    hand_rank:820
hand:J7767(HandType.FOUR__). bid:374    value:96103.    hand_rank:821
hand:J8555(HandType.FOUR__). bid:949    value:99669.    hand_rank:822
hand:J8666(HandType.FOUR__). bid:970    value:99942.    hand_rank:823
hand:J9599(HandType.FOUR__). bid:183    value:103833.   hand_rank:824
hand:J9994(HandType.FOUR__). bid:519    value:104852.   hand_rank:825
hand:JTJ7T(HandType.FOUR__). bid:886    value:106874.   hand_rank:826
hand:JTTQT(HandType.FOUR__). bid:718    value:109242.   hand_rank:827
hand:JTKTT(HandType.FOUR__). bid:45     value:109738.   hand_rank:828
hand:JQQTQ(HandType.FOUR__). bid:818    value:113579.   hand_rank:829
hand:JQQQ2(HandType.FOUR__). bid:62     value:113586.   hand_rank:830
hand:JQAAA(HandType.FOUR__). bid:218    value:114141.   hand_rank:831
hand:JA5AA(HandType.FOUR__). bid:345    value:120285.   hand_rank:832
hand:JA9AA(HandType.FOUR__). bid:136    value:121309.   hand_rank:833
hand:JAA7A(HandType.FOUR__). bid:802    value:122237.   hand_rank:834
hand:22J2K(HandType.FOUR__). bid:419    value:139564.   hand_rank:835
hand:22225(HandType.FOUR__). bid:742    value:139813.   hand_rank:836
hand:22622(HandType.FOUR__). bid:521    value:140834.   hand_rank:837
hand:22Q2J(HandType.FOUR__). bid:598    value:142113.   hand_rank:838
hand:22A2J(HandType.FOUR__). bid:212    value:142625.   hand_rank:839
hand:233JJ(HandType.FOUR__). bid:268    value:144145.   hand_rank:840
hand:2TTTT(HandType.FOUR__). bid:132    value:174762.   hand_rank:841
hand:2QQQQ(HandType.FOUR__). bid:234    value:179131.   hand_rank:842
hand:3J3A3(HandType.FOUR__). bid:381    value:201683.   hand_rank:843
hand:32222(HandType.FOUR__). bid:233    value:205346.   hand_rank:844
hand:3333K(HandType.FOUR__). bid:429    value:209724.   hand_rank:845
hand:33433(HandType.FOUR__). bid:164    value:209971.   hand_rank:846
hand:33QJJ(HandType.FOUR__). bid:306    value:211729.   hand_rank:847
hand:38333(HandType.FOUR__). bid:90     value:230195.   hand_rank:848
hand:3QQQQ(HandType.FOUR__). bid:792    value:244667.   hand_rank:849
hand:4JJ24(HandType.FOUR__). bid:719    value:266532.   hand_rank:850
hand:4JTJT(HandType.FOUR__). bid:784    value:268826.   hand_rank:851
hand:4JQJQ(HandType.FOUR__). bid:578    value:269083.   hand_rank:852
hand:44J45(HandType.FOUR__). bid:672    value:278853.   hand_rank:853
hand:44434(HandType.FOUR__). bid:528    value:279604.   hand_rank:854
hand:44445(HandType.FOUR__). bid:690    value:279621.   hand_rank:855
hand:444Q4(HandType.FOUR__). bid:328    value:279732.   hand_rank:856
hand:44944(HandType.FOUR__). bid:866    value:280900.   hand_rank:857
hand:48888(HandType.FOUR__). bid:641    value:297096.   hand_rank:858
hand:4K444(HandType.FOUR__). bid:951    value:312388.   hand_rank:859
hand:4A444(HandType.FOUR__). bid:469    value:316484.   hand_rank:860
hand:4AAAA(HandType.FOUR__). bid:706    value:318941.   hand_rank:861
hand:5J554(HandType.FOUR__). bid:410    value:333140.   hand_rank:862
hand:5JK55(HandType.FOUR__). bid:286    value:334933.   hand_rank:863
hand:5255J(HandType.FOUR__). bid:389    value:337233.   hand_rank:864
hand:533J3(HandType.FOUR__). bid:141    value:340755.   hand_rank:865
hand:55J35(HandType.FOUR__). bid:303    value:348469.   hand_rank:866
hand:55552(HandType.FOUR__). bid:956    value:349522.   hand_rank:867
hand:55554(HandType.FOUR__). bid:934    value:349524.   hand_rank:868
hand:55565(HandType.FOUR__). bid:664    value:349541.   hand_rank:869
hand:55575(HandType.FOUR__). bid:247    value:349557.   hand_rank:870
hand:555K5(HandType.FOUR__). bid:437    value:349637.   hand_rank:871
hand:55A55(HandType.FOUR__). bid:772    value:351573.   hand_rank:872
hand:59999(HandType.FOUR__). bid:370    value:367001.   hand_rank:873
hand:5TJTT(HandType.FOUR__). bid:272    value:369066.   hand_rank:874
hand:5T5J5(HandType.FOUR__). bid:466    value:369941.   hand_rank:875
hand:6J266(HandType.FOUR__). bid:931    value:397926.   hand_rank:876
hand:6J555(HandType.FOUR__). bid:432    value:398677.   hand_rank:877
hand:6J566(HandType.FOUR__). bid:769    value:398694.   hand_rank:878
hand:62666(HandType.FOUR__). bid:243    value:403046.   hand_rank:879
hand:63333(HandType.FOUR__). bid:358    value:406323.   hand_rank:880
hand:66466(HandType.FOUR__). bid:846    value:418918.   hand_rank:881
hand:66656(HandType.FOUR__). bid:573    value:419414.   hand_rank:882
hand:66696(HandType.FOUR__). bid:10     value:419478.   hand_rank:883
hand:6676J(HandType.FOUR__). bid:921    value:419681.   hand_rank:884
hand:668JJ(HandType.FOUR__). bid:4      value:419857.   hand_rank:885
hand:66K66(HandType.FOUR__). bid:752    value:420966.   hand_rank:886
hand:69999(HandType.FOUR__). bid:19     value:432537.   hand_rank:887
hand:6T666(HandType.FOUR__). bid:552    value:435814.   hand_rank:888
hand:6QJ66(HandType.FOUR__). bid:965    value:438630.   hand_rank:889
hand:6Q666(HandType.FOUR__). bid:525    value:439910.   hand_rank:890
hand:6QQQJ(HandType.FOUR__). bid:116    value:441265.   hand_rank:891
hand:6KKJJ(HandType.FOUR__). bid:545    value:445457.   hand_rank:892
hand:6KKJK(HandType.FOUR__). bid:157    value:445468.   hand_rank:893
hand:6A666(HandType.FOUR__). bid:702    value:448102.   hand_rank:894
hand:7JJJA(HandType.FOUR__). bid:894    value:463133.   hand_rank:895
hand:7J6J6(HandType.FOUR__). bid:727    value:464406.   hand_rank:896
hand:7JK77(HandType.FOUR__). bid:153    value:466039.   hand_rank:897
hand:75777(HandType.FOUR__). bid:359    value:481143.   hand_rank:898
hand:773J7(HandType.FOUR__). bid:445    value:488215.   hand_rank:899
hand:77477(HandType.FOUR__). bid:917    value:488567.   hand_rank:900
hand:77776(HandType.FOUR__). bid:786    value:489334.   hand_rank:901
hand:77A77(HandType.FOUR__). bid:975    value:490871.   hand_rank:902
hand:7888J(HandType.FOUR__). bid:403    value:493697.   hand_rank:903
hand:79999(HandType.FOUR__). bid:548    value:498073.   hand_rank:904
hand:7T777(HandType.FOUR__). bid:38     value:501623.   hand_rank:905
hand:7TTTT(HandType.FOUR__). bid:292    value:502442.   hand_rank:906
hand:7Q777(HandType.FOUR__). bid:467    value:505719.   hand_rank:907
hand:7K777(HandType.FOUR__). bid:746    value:509815.   hand_rank:908
hand:8J885(HandType.FOUR__). bid:696    value:530565.   hand_rank:909
hand:82222(HandType.FOUR__). bid:691    value:533026.   hand_rank:910
hand:82888(HandType.FOUR__). bid:1      value:534664.   hand_rank:911
hand:83888(HandType.FOUR__). bid:207    value:538760.   hand_rank:912
hand:85888(HandType.FOUR__). bid:400    value:546952.   hand_rank:913
hand:88J98(HandType.FOUR__). bid:486    value:557464.   hand_rank:914
hand:888J2(HandType.FOUR__). bid:294    value:559122.   hand_rank:915
hand:888J3(HandType.FOUR__). bid:256    value:559123.   hand_rank:916
hand:88886(HandType.FOUR__). bid:814    value:559238.   hand_rank:917
hand:88887(HandType.FOUR__). bid:723    value:559239.   hand_rank:918
hand:8888Q(HandType.FOUR__). bid:527    value:559243.   hand_rank:919
hand:888K8(HandType.FOUR__). bid:996    value:559304.   hand_rank:920
hand:88988(HandType.FOUR__). bid:823    value:559496.   hand_rank:921
hand:88T88(HandType.FOUR__). bid:957    value:559752.   hand_rank:922
hand:8AJAJ(HandType.FOUR__). bid:266    value:578001.   hand_rank:923
hand:9J399(HandType.FOUR__). bid:425    value:594841.   hand_rank:924
hand:9JKKK(HandType.FOUR__). bid:356    value:597196.   hand_rank:925
hand:95555(HandType.FOUR__). bid:92     value:611669.   hand_rank:926
hand:998J9(HandType.FOUR__). bid:583    value:628761.   hand_rank:927
hand:99899(HandType.FOUR__). bid:952    value:628889.   hand_rank:928
hand:99929(HandType.FOUR__). bid:937    value:629033.   hand_rank:929
hand:9999T(HandType.FOUR__). bid:34     value:629146.   hand_rank:930
hand:9TJTT(HandType.FOUR__). bid:365    value:631210.   hand_rank:931
hand:TJJJQ(HandType.FOUR__). bid:453    value:659739.   hand_rank:932
hand:T4TTJ(HandType.FOUR__). bid:859    value:674465.   hand_rank:933
hand:T8JTJ(HandType.FOUR__). bid:315    value:688545.   hand_rank:934
hand:T9TTT(HandType.FOUR__). bid:435    value:694954.   hand_rank:935
hand:TTTT5(HandType.FOUR__). bid:75     value:699045.   hand_rank:936
hand:TTTT6(HandType.FOUR__). bid:325    value:699046.   hand_rank:937
hand:TTTTK(HandType.FOUR__). bid:849    value:699052.   hand_rank:938
hand:TTTTA(HandType.FOUR__). bid:314    value:699053.   hand_rank:939
hand:TKKKK(HandType.FOUR__). bid:185    value:707788.   hand_rank:940
hand:TAAJA(HandType.FOUR__). bid:282    value:711965.   hand_rank:941
hand:QJJTQ(HandType.FOUR__). bid:382    value:725419.   hand_rank:942
hand:Q55J5(HandType.FOUR__). bid:189    value:742677.   hand_rank:943
hand:Q8QQQ(HandType.FOUR__). bid:657    value:756667.   hand_rank:944
hand:QQ5QJ(HandType.FOUR__). bid:717    value:767409.   hand_rank:945
hand:QQ7JQ(HandType.FOUR__). bid:901    value:767771.   hand_rank:946
hand:QQQJ8(HandType.FOUR__). bid:793    value:768792.   hand_rank:947
hand:QQQ4Q(HandType.FOUR__). bid:139    value:768843.   hand_rank:948
hand:QQQ6Q(HandType.FOUR__). bid:146    value:768875.   hand_rank:949
hand:QQQ7Q(HandType.FOUR__). bid:259    value:768891.   hand_rank:950
hand:K2KKK(HandType.FOUR__). bid:284    value:797900.   hand_rank:951
hand:K3KKK(HandType.FOUR__). bid:17     value:801996.   hand_rank:952
hand:K44JJ(HandType.FOUR__). bid:332    value:803857.   hand_rank:953
hand:K6KKK(HandType.FOUR__). bid:260    value:814284.   hand_rank:954
hand:KK5KK(HandType.FOUR__). bid:402    value:837068.   hand_rank:955
hand:KK9JJ(HandType.FOUR__). bid:376    value:837905.   hand_rank:956
hand:KKK8K(HandType.FOUR__). bid:22     value:838796.   hand_rank:957
hand:KKKK4(HandType.FOUR__). bid:505    value:838852.   hand_rank:958
hand:KAJAA(HandType.FOUR__). bid:797    value:840157.   hand_rank:959
hand:KAAAA(HandType.FOUR__). bid:919    value:843229.   hand_rank:960
hand:A3JAA(HandType.FOUR__). bid:49     value:864733.   hand_rank:961
hand:A5AAA(HandType.FOUR__). bid:720    value:875997.   hand_rank:962
hand:A7J7J(HandType.FOUR__). bid:472    value:881009.   hand_rank:963
hand:A8JAA(HandType.FOUR__). bid:571    value:885213.   hand_rank:964
hand:AQQJJ(HandType.FOUR__). bid:978    value:899857.   hand_rank:965
hand:AQQQQ(HandType.FOUR__). bid:507    value:900027.   hand_rank:966
hand:AA2AA(HandType.FOUR__). bid:126    value:905949.   hand_rank:967
hand:AA7AA(HandType.FOUR__). bid:279    value:907229.   hand_rank:968
hand:AAATA(HandType.FOUR__). bid:230    value:908717.   hand_rank:969
hand:AAAA8(HandType.FOUR__). bid:78     value:908760.   hand_rank:970
hand:JJJJJ(HandType.FIVE__). bid:131    value:69905.    hand_rank:971
hand:JJJAA(HandType.FIVE__). bid:638    value:70109.    hand_rank:972
hand:J22J2(HandType.FIVE__). bid:372    value:74258.    hand_rank:973
hand:J44J4(HandType.FIVE__). bid:220    value:82964.    hand_rank:974
hand:J555J(HandType.FIVE__). bid:777    value:87377.    hand_rank:975
hand:J8JJJ(HandType.FIVE__). bid:778    value:98577.    hand_rank:976
hand:J9JJJ(HandType.FIVE__). bid:543    value:102673.   hand_rank:977
hand:J9JJ9(HandType.FIVE__). bid:454    value:102681.   hand_rank:978
hand:J9999(HandType.FIVE__). bid:431    value:104857.   hand_rank:979
hand:222J2(HandType.FIVE__). bid:249    value:139794.   hand_rank:980
hand:33JJJ(HandType.FIVE__). bid:240    value:209169.   hand_rank:981
hand:33J3J(HandType.FIVE__). bid:647    value:209201.   hand_rank:982
hand:33J33(HandType.FIVE__). bid:881    value:209203.   hand_rank:983
hand:44J44(HandType.FIVE__). bid:764    value:278852.   hand_rank:984
hand:555J5(HandType.FIVE__). bid:277    value:349461.   hand_rank:985
hand:66J6J(HandType.FIVE__). bid:401    value:418145.   hand_rank:986
hand:666J6(HandType.FIVE__). bid:355    value:419350.   hand_rank:987
hand:7J7J7(HandType.FIVE__). bid:544    value:464663.   hand_rank:988
hand:77J77(HandType.FIVE__). bid:150    value:487799.   hand_rank:989
hand:8J88J(HandType.FIVE__). bid:163    value:530561.   hand_rank:990
hand:8888J(HandType.FIVE__). bid:385    value:559233.   hand_rank:991
hand:9J9J9(HandType.FIVE__). bid:307    value:596249.   hand_rank:992
hand:TJTTT(HandType.FIVE__). bid:857    value:662186.   hand_rank:993
hand:TTJTJ(HandType.FIVE__). bid:250    value:696737.   hand_rank:994
hand:QQJQJ(HandType.FIVE__). bid:551    value:766385.   hand_rank:995
hand:QQJQQ(HandType.FIVE__). bid:622    value:766395.   hand_rank:996
hand:KJJKK(HandType.FIVE__). bid:427    value:790988.   hand_rank:997
hand:KKKKJ(HandType.FIVE__). bid:18     value:838849.   hand_rank:998
hand:AJAAA(HandType.FIVE__). bid:405    value:859613.   hand_rank:999
hand:AAJAJ(HandType.FIVE__). bid:959    value:905681.   hand_rank:1000
